22-43-15-518:======GameLog Start (2024年8月18日, 22:43:15)======
22-43-15-611:[Warn]:Time:22-43-15-611:StoryInstance queue message start
22-43-16-043:[Warn]:Time:22-43-16-042:StoryInstance queue message start
22-43-16-043:[Warn]:Time:22-43-16-043:story_main start
22-43-18-051:[Warn]:Time:22-43-18-051:StoryInstance queue message start
22-43-18-082:[Warn]:Time:22-43-18-082:StoryInstance queue message Start:loop_work
22-43-20-008:[Warn]:Time:22-43-20-008:StoryInstance queue message Start:on_click
22-43-20-012:[Warn]:Time:22-43-20-012:StoryInstance queue message on_start_button_click
22-43-20-430:[Warn]:Time:22-43-20-430:StoryInstance queue message scene_loaded
22-43-20-438:[Warn]:Time:22-43-20-438:StoryInstance queue message start_game
22-43-21-401:[Warn]:Time:22-43-21-401:StoryInstance queue message start
22-43-21-408:[Warn]:Time:22-43-21-408:StoryInstance queue message start
22-43-21-412:[Warn]:Time:22-43-21-412:StoryInstance queue message start
22-43-21-415:[Warn]:Time:22-43-21-415:StoryInstance queue message start
22-43-21-418:[Warn]:Time:22-43-21-418:StoryInstance queue message start
22-43-21-628:[Warn]:Time:22-43-21-627:StoryInstance queue message start
22-43-21-635:[Warn]:Time:22-43-21-635:StoryInstance queue message start
22-43-21-639:[Warn]:Time:22-43-21-639:StoryInstance queue message start
22-43-21-644:[Warn]:Time:22-43-21-643:StoryInstance queue message start
22-43-21-648:[Warn]:Time:22-43-21-647:StoryInstance queue message start
22-43-21-651:[Warn]:Time:22-43-21-651:StoryInstance queue message start
22-43-21-655:[Warn]:Time:22-43-21-654:StoryInstance queue message start
22-43-21-666:[Warn]:Time:22-43-21-666:StoryInstance queue message on_born
22-43-21-667:[Warn]:Time:22-43-21-666:StoryInstance queue message on_born
22-43-21-667:[Warn]:Time:22-43-21-667:StoryInstance queue message on_born
22-43-21-667:[Warn]:Time:22-43-21-667:StoryInstance queue message on_born
22-43-21-667:[Warn]:Time:22-43-21-667:StoryInstance queue message on_born
22-43-21-668:[Warn]:Time:22-43-21-667:StoryInstance queue message on_born
22-43-21-668:[Warn]:Time:22-43-21-668:StoryInstance queue message on_born
22-43-21-905:[Warn]:Time:22-43-21-905:StoryInstance queue message show_centerinfo
22-43-25-346:[Warn]:Time:22-43-25-346:StoryInstance queue message hide_centerinfo
22-43-25-352:[Warn]:Time:22-43-25-352:StoryInstance queue message on_hide_centerinfo
22-43-28-868:[Warn]:Time:22-43-28-867:StoryInstance queue message move_to
22-43-29-939:[Warn]:Time:22-43-29-938:StoryInstance queue concurrent message notify_player
22-43-29-939:[Warn]:Time:22-43-29-939:StoryInstance queue concurrent message notify_player
22-43-32-049:[Warn]:Time:22-43-32-049:StoryInstance queue message start
22-43-32-050:[Warn]:Time:22-43-32-050:StoryInstance queue message on_victory_button_click
22-43-32-097:[Warn]:Time:22-43-32-097:StoryInstance queue concurrent message on_trigger_enter
22-43-32-099:[Warn]:Time:22-43-32-099:StoryInstance queue concurrent message baozha
22-43-32-100:[Warn]:Time:22-43-32-099:baozha => (54.00, 0.15, 43.00) obj199 (54.00, 0.15, 43.00)
22-43-32-132:[Warn]:Time:22-43-32-132:StoryInstance queue concurrent message on_trigger_exit
22-43-32-133:[Warn]:Time:22-43-32-133:StoryInstance queue concurrent message on_trigger_enter
22-43-32-133:[Warn]:Time:22-43-32-133:StoryInstance queue concurrent message baozha
22-43-32-136:[Warn]:Time:22-43-32-136:baozha => (54.00, 0.01, 38.00) obj198 (54.00, 0.01, 38.00)
22-43-32-536:[Warn]:Time:22-43-32-535:StoryInstance queue message scene_loaded
22-43-32-540:[Warn]:Time:22-43-32-540:StoryInstance queue message start_game
22-43-33-501:[Warn]:Time:22-43-33-501:StoryInstance queue message start
22-43-33-504:[Warn]:Time:22-43-33-504:StoryInstance queue message start
22-43-33-507:[Warn]:Time:22-43-33-507:StoryInstance queue message start
22-43-33-509:[Warn]:Time:22-43-33-509:StoryInstance queue message start
22-43-33-512:[Warn]:Time:22-43-33-511:StoryInstance queue message start
22-43-33-714:[Warn]:Time:22-43-33-714:StoryInstance queue message start
22-43-33-718:[Warn]:Time:22-43-33-718:StoryInstance queue message start
22-43-33-722:[Warn]:Time:22-43-33-722:StoryInstance queue message start
22-43-33-725:[Warn]:Time:22-43-33-725:StoryInstance queue message start
22-43-33-729:[Warn]:Time:22-43-33-728:StoryInstance queue message start
22-43-33-732:[Warn]:Time:22-43-33-732:StoryInstance queue message start
22-43-33-735:[Warn]:Time:22-43-33-735:StoryInstance queue message start
22-43-33-743:[Warn]:Time:22-43-33-743:StoryInstance queue message on_born
22-43-33-744:[Warn]:Time:22-43-33-743:StoryInstance queue message on_born
22-43-33-744:[Warn]:Time:22-43-33-744:StoryInstance queue message on_born
22-43-33-744:[Warn]:Time:22-43-33-744:StoryInstance queue message on_born
22-43-33-744:[Warn]:Time:22-43-33-744:StoryInstance queue message on_born
22-43-33-744:[Warn]:Time:22-43-33-744:StoryInstance queue message on_born
22-43-33-745:[Warn]:Time:22-43-33-744:StoryInstance queue message on_born
22-43-34-003:[Warn]:Time:22-43-34-002:StoryInstance queue message show_centerinfo
22-43-37-448:[Warn]:Time:22-43-37-447:StoryInstance queue message hide_centerinfo
22-43-37-454:[Warn]:Time:22-43-37-453:StoryInstance queue message on_hide_centerinfo
22-43-42-771:[Warn]:Time:22-43-42-771:StoryInstance queue message start
22-43-42-772:[Warn]:Time:22-43-42-772:StoryInstance queue message on_victory_button_click
22-43-43-223:[Warn]:Time:22-43-43-222:StoryInstance queue message scene_loaded
22-43-43-229:[Warn]:Time:22-43-43-228:StoryInstance queue message start_game
22-43-44-223:[Warn]:Time:22-43-44-223:StoryInstance queue message start
22-43-44-226:[Warn]:Time:22-43-44-226:StoryInstance queue message start
22-43-44-229:[Warn]:Time:22-43-44-229:StoryInstance queue message start
22-43-44-231:[Warn]:Time:22-43-44-231:StoryInstance queue message start
22-43-44-233:[Warn]:Time:22-43-44-233:StoryInstance queue message start
22-43-44-430:[Warn]:Time:22-43-44-429:StoryInstance queue message start
22-43-44-434:[Warn]:Time:22-43-44-434:StoryInstance queue message start
22-43-44-438:[Warn]:Time:22-43-44-437:StoryInstance queue message start
22-43-44-441:[Warn]:Time:22-43-44-441:StoryInstance queue message start
22-43-44-445:[Warn]:Time:22-43-44-444:StoryInstance queue message start
22-43-44-448:[Warn]:Time:22-43-44-448:StoryInstance queue message start
22-43-44-452:[Warn]:Time:22-43-44-452:StoryInstance queue message start
22-43-44-469:[Warn]:Time:22-43-44-469:StoryInstance queue message on_born
22-43-44-469:[Warn]:Time:22-43-44-469:StoryInstance queue message on_born
22-43-44-469:[Warn]:Time:22-43-44-469:StoryInstance queue message on_born
22-43-44-470:[Warn]:Time:22-43-44-469:StoryInstance queue message on_born
22-43-44-470:[Warn]:Time:22-43-44-470:StoryInstance queue message on_born
22-43-44-470:[Warn]:Time:22-43-44-470:StoryInstance queue message on_born
22-43-44-470:[Warn]:Time:22-43-44-470:StoryInstance queue message on_born
22-43-44-722:[Warn]:Time:22-43-44-721:StoryInstance queue message show_centerinfo
22-43-48-156:[Warn]:Time:22-43-48-155:StoryInstance queue message hide_centerinfo
22-43-48-161:[Warn]:Time:22-43-48-161:StoryInstance queue message on_hide_centerinfo
22-44-05-402:[Warn]:Time:22-44-05-402:StoryInstance queue message start
22-44-05-402:[Warn]:Time:22-44-05-402:StoryInstance queue message on_victory_button_click
22-44-05-886:[Warn]:Time:22-44-05-885:StoryInstance queue message scene_loaded
22-44-05-891:[Warn]:Time:22-44-05-891:StoryInstance queue message start_game
22-44-06-915:[Warn]:Time:22-44-06-914:StoryInstance queue message start
22-44-06-919:[Warn]:Time:22-44-06-919:StoryInstance queue message start
22-44-06-922:[Warn]:Time:22-44-06-922:StoryInstance queue message start
22-44-06-925:[Warn]:Time:22-44-06-924:StoryInstance queue message start
22-44-06-927:[Warn]:Time:22-44-06-927:StoryInstance queue message start
